"","orig","des_old","des_new"
"Q487Z6","50S ribosomal protein L2 ","50S ribosomal protein L2 ","Large ribosomal subunit protein uL2 "
"Q487Z7","30S ribosomal protein S19 ","30S ribosomal protein S19 ","Small ribosomal subunit protein uS19 "
"Q487Z8","50S ribosomal protein L22 ","50S ribosomal protein L22 ","Large ribosomal subunit protein uL22 "
"Q487Z9","30S ribosomal protein S3 ","30S ribosomal protein S3 ","Small ribosomal subunit protein uS3 "
"Q488A0","50S ribosomal protein L16 ","50S ribosomal protein L16 ","Large ribosomal subunit protein uL16 "
"Q488A1","50S ribosomal protein L29 ","50S ribosomal protein L29 ","Large ribosomal subunit protein uL29 "
"Q488A2","30S ribosomal protein S17 ","30S ribosomal protein S17 ","Small ribosomal subunit protein uS17 "
"Q488A3","Proline iminopeptidase ","Proline iminopeptidase ","Proline iminopeptidase "
"Q488A5","Coenzyme PQQ synthesis protein B ","Coenzyme PQQ synthesis protein B ","Coenzyme PQQ synthesis protein B "
"Q488A7","Pyrroloquinoline-quinone synthase ","Pyrroloquinoline-quinone synthase ","Pyrroloquinoline-quinone synthase "
"Q488A9","PqqA peptide cyclase ","PqqA peptide cyclase ","PqqA peptide cyclase "
"Q488B0","Putative metallopeptidase, M16 family ","Putative metallopeptidase, M16 family ","Putative metallopeptidase, M16 family "
"Q488B2","Amidohydrolase family protein ","Amidohydrolase family protein ","Amidohydrolase family protein "
"Q488B3","Putative glycine cleavage operon activator ","Putative glycine cleavage operon activator ","Putative glycine cleavage operon activator "
"Q488C2","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q488C4","Putative surface protein ","Putative surface protein ","Putative surface protein "
"Q488C5","Arylsulfatase ","Arylsulfatase ","Arylsulfatase "
"Q488C7","Sodium/bile acid symporter family protein ","Sodium/bile acid symporter family protein ","Sodium/bile acid symporter family protein "
"Q488D5","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family ","Transcriptional regulator, LysR family "
"Q488E0","Putative dihydrolipoamide dehydrogenase ","Putative dihydrolipoamide dehydrogenase ","Putative dihydrolipoamide dehydrogenase "
"Q488E3","Transcriptional regulator ","Transcriptional regulator ","Transcriptional regulator "
"Q488E5","Uncharacterized protein ","Uncharacterized protein ","ChrR-like cupin domain-containing protein "
"Q488E6","GGDEF domain protein ","GGDEF domain protein ","diguanylate cyclase "
"Q488E7","S-formylglutathione hydrolase ","S-formylglutathione hydrolase ","S-formylglutathione hydrolase "
"Q488E9","S-(hydroxymethyl)glutathione dehydrogenase ","S-(hydroxymethyl)glutathione dehydrogenase ","S-(hydroxymethyl)glutathione dehydrogenase "
"Q488F1","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family "
"Q488F4","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q488F6","Uncharacterized protein ","Uncharacterized protein ","Putative DNA-binding domain-containing protein "
"Q488F7","DoxD family protein ","DoxD family protein ","DoxD family protein "
"Q488G2","Transcriptional regulator, MarR family ","Transcriptional regulator, MarR family ","Transcriptional regulator, MarR family "
"Q488H0","Uncharacterized protein ","Uncharacterized protein ","DinB family protein "
"Q488H7","Uncharacterized protein ","Uncharacterized protein ","PEP-CTERM protein-sorting domain-containing protein "
"Q488H8","Thermostable serine protease, subtilase family ","Thermostable serine protease, subtilase family ","Thermostable serine protease, subtilase family "
"Q488I1","RNA methyltransferase, TrmH family ","RNA methyltransferase, TrmH family ","RNA methyltransferase, TrmH family "
"Q488I2","Uncharacterized protein ","Uncharacterized protein ","PEP-CTERM protein-sorting domain-containing protein "
"Q488I4","TPR domain protein ","TPR domain protein ","TPR domain protein "
"Q488I7","Sigma-54 dependent DNA-binding response regulator, Fis family ","Sigma-54 dependent DNA-binding response regulator, Fis family ","Sigma-54 dependent DNA-binding response regulator, Fis family "
"Q488I9","Putative permease ","Putative permease ","Putative permease "
"Q488J0","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q488J2","Uncharacterized protein ","Uncharacterized protein ","Transcription factor zinc-finger domain-containing protein "
"Q488J6","tRNA 2-selenouridine/geranyl-2-thiouridine synthase ","tRNA 2-selenouridine/geranyl-2-thiouridine synthase ","tRNA 2-selenouridine synthase "
"Q488J7","Selenide, water dikinase ","Selenide, water dikinase ","Selenide, water dikinase "
"Q488J8","Auxin efflux carrier family protein ","Auxin efflux carrier family protein ","Auxin efflux carrier family protein "
"Q488J9","Uncharacterized protein ","Uncharacterized protein ","TIR domain-containing protein "
"Q488K0","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q488K1","Uncharacterized protein ","Uncharacterized protein ","SMODS and SLOG-associating 2TM effector domain-containing protein "
"Q488K2","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein ","Methyl-accepting chemotaxis protein "
"Q488K3","Glutamate synthase, NADH/NADPH, small subunit ","Glutamate synthase, NADH/NADPH, small subunit ","glutamate synthase (NADPH) "
"Q488K4","Putative glutamate synthase, ferredoxin-dependent ","Putative glutamate synthase, ferredoxin-dependent ","Putative glutamate synthase, ferredoxin-dependent "
"Q488K7","Uncharacterized protein ","Uncharacterized protein ","Acetyl-CoA acetyltransferase "
"Q488L2","Alkaline serine protease, subtilase family ","Alkaline serine protease, subtilase family ","Alkaline serine protease, subtilase family "
"Q488L5","Uncharacterized protein ","Uncharacterized protein ","ABM domain-containing protein "
"Q488L8","Efflux transporter, MFP subunit, AcrA/E family ","Efflux transporter, MFP subunit, AcrA/E family ","Efflux transporter, MFP subunit, AcrA/E family "
"Q488L9","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q488M1","Putative permease ","Putative permease ","Putative permease "
"Q488M3","Putative permease ","Putative permease ","Lipopolysaccharide export system permease protein LptF "
"Q488M4","Probable cytosol aminopeptidase ","Probable cytosol aminopeptidase ","Probable cytosol aminopeptidase "
"Q488M5","DNA polymerase III, chi subunit ","DNA polymerase III, chi subunit ","DNA polymerase III, chi subunit "
"Q488M6","Valine--tRNA ligase ","Valine--tRNA ligase ","Valine--tRNA ligase "
"Q488M7","Cold-shock DNA-binding domain family protein ","Cold-shock DNA-binding domain family protein ","Cold-shock DNA-binding domain family protein "
"Q488N1","Uncharacterized protein ","Uncharacterized protein ","Pyrrolidone-carboxylate peptidase "
"Q488N2","3,4-dihydroxy-2-butanone-4-phosphate synthase ","3,4-dihydroxy-2-butanone-4-phosphate synthase ","3,4-dihydroxy-2-butanone 4-phosphate synthase "
"Q488N3","Riboflavin synthase, alpha subunit ","Riboflavin synthase, alpha subunit ","Riboflavin synthase "
"Q488N4","Riboflavin biosynthesis protein RibD ","Riboflavin biosynthesis protein RibD ","Riboflavin biosynthesis protein RibD "
"Q488N5","Transcriptional repressor NrdR ","Transcriptional repressor NrdR ","Transcriptional repressor NrdR "
"Q488N6","Serine hydroxymethyltransferase 1 ","Serine hydroxymethyltransferase 1 ","Serine hydroxymethyltransferase 1 "
"Q488P0","Protein NatB ","Protein NatB ","Protein NatB "
"Q488P1","ATP-binding transport protein NatA ","ATP-binding transport protein NatA ","ATP-binding transport protein NatA "
"Q488P2","Hydrolase, alpha/beta hydrolase fold family ","Hydrolase, alpha/beta hydrolase fold family ","prolyl aminopeptidase "
"Q488P3","EF hand domain protein ","EF hand domain protein ","EF hand domain protein "
"Q488P6","Cold-shock DNA-binding domain family protein ","Cold-shock DNA-binding domain family protein ","Cold-shock DNA-binding domain family protein "
"Q488P7","Transcription termination factor Rho ","Transcription termination factor Rho ","Transcription termination factor Rho "
"Q488P8","Uncharacterized protein ","Uncharacterized protein ","Helix-turn-helix domain-containing protein "
"Q488Q1","Enoyl-[acyl-carrier-protein] reductase [NADH] ","Enoyl-[acyl-carrier-protein] reductase [NADH] ","Enoyl-[acyl-carrier-protein] reductase [NADH] "
"Q488Q2","BolA protein ","BolA protein ","BolA protein "
"Q488Q3","Ribosomal RNA large subunit methyltransferase G ","Ribosomal RNA large subunit methyltransferase G ","Ribosomal RNA large subunit methyltransferase G "
"Q488Q4","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q488Q5","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase "
"Q488R0","Uncharacterized protein ","Uncharacterized protein ","HDOD domain-containing protein "
"Q488R2","Fumarylacetoacetate hydrolase family protein ","Fumarylacetoacetate hydrolase family protein ","Fumarylacetoacetate hydrolase family protein "
"Q488R6","Long-chain fatty acid transport protein ","Long-chain fatty acid transport protein ","Long-chain fatty acid transport protein "
"Q488R7","Arginine repressor ","Arginine repressor ","Arginine repressor "
"Q488S0","Putative lipoprotein ","Putative lipoprotein ","Putative lipoprotein "
"Q488S2","Uncharacterized protein ","Uncharacterized protein ","Dipeptidyl-peptidase "
"Q488S6","Thiamine pyrophosphate-binding domain protein ","Thiamine pyrophosphate-binding domain protein ","Thiamine pyrophosphate-binding domain protein "
"Q488S7","Uncharacterized protein ","Uncharacterized protein ","Methyltransferase type 11 "
"Q488S8","GGDEF/HAMP domain protein ","GGDEF/HAMP domain protein ","diguanylate cyclase "
"Q488T3","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q488T6","Uncharacterized protein ","Uncharacterized protein ","Methylase "
"Q488U0","Sensory box/GGDEF/EAL domain protein ","Sensory box/GGDEF/EAL domain protein ","Sensory box/GGDEF/EAL domain protein "
"Q488U1","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein "
"Q488U4","Oxidoreductase, GMC family ","Oxidoreductase, GMC family ","Oxidoreductase, GMC family "
"Q488U5","Thiolase ","Thiolase ","Thiolase "
"Q488U7","Putative TonB-dependent receptor ","Putative TonB-dependent receptor ","Putative TonB-dependent receptor "
"Q488V2","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family ","Transcriptional regulator, AraC family "
"Q488V6","Acyl-CoA dehydrogenase ","Acyl-CoA dehydrogenase ","Acyl-CoA dehydrogenase "
"Q488V7","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein "
"Q488V8","Enoyl-CoA hydratase/isomerase family protein ","Enoyl-CoA hydratase/isomerase family protein ","3-hydroxyisobutyryl-CoA hydrolase "
"Q488V9","Uncharacterized protein ","Uncharacterized protein ","Aminoglycoside phosphotransferase domain-containing protein "
"Q488W1","Uncharacterized protein ","Uncharacterized protein ","Spondin domain-containing protein "
"Q488W3","DNA-binding response regulator ","DNA-binding response regulator ","DNA-binding response regulator "
"Q488W4","Sensor histidine kinase ","Sensor histidine kinase ","histidine kinase "
"Q488W5","6-phosphofructokinase ","6-phosphofructokinase ","6-phosphofructokinase "
"Q488W6","Ferrous iron transport protein B ","Ferrous iron transport protein B ","Ferrous iron transport protein B "
"Q488W9","Uncharacterized protein ","Uncharacterized protein ","Cytochrome c-552/4 domain-containing protein "
"Q488X0","Uncharacterized protein ","Uncharacterized protein ","Uncharacterized protein "
"Q488X1","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase ","Peptidyl-prolyl cis-trans isomerase "
"Q488X4","Putative glutaredoxin ","Putative glutaredoxin ","Putative glutaredoxin "
"Q488X5","Uncharacterized protein ","Uncharacterized protein ","Alginate export domain-containing protein "
"Q488X6","Anthranilate synthase component II ","Anthranilate synthase component II ","Anthranilate synthase component II "
"Q488X7","Uncharacterized protein ","Uncharacterized protein ","HDOD domain-containing protein "
"Q488X8","Acetylornithine aminotransferase ","Acetylornithine aminotransferase ","Acetylornithine aminotransferase "
"Q488X9","Arginine N-succinyltransferase ","Arginine N-succinyltransferase ","Arginine N-succinyltransferase "
"Q488Y0","N-succinylglutamate 5-semialdehyde dehydrogenase ","N-succinylglutamate 5-semialdehyde dehydrogenase ","N-succinylglutamate 5-semialdehyde dehydrogenase "
"Q488Y1","Succinylglutamate desuccinylase ","Succinylglutamate desuccinylase ","Succinylglutamate desuccinylase "
"Q488Y3","OsmC family protein ","OsmC family protein ","OsmC family protein "
"Q488Y5","GGDEF domain protein ","GGDEF domain protein ","diguanylate cyclase "
"Q488Y6","Phosphoribulokinase ","Phosphoribulokinase ","Phosphoribulokinase "
"Q488Y7","50S ribosomal protein L17 ","50S ribosomal protein L17 ","Large ribosomal subunit protein bL17 "
"Q488Y8","DNA-directed RNA polymerase subunit alpha ","DNA-directed RNA polymerase subunit alpha ","DNA-directed RNA polymerase subunit alpha "
"Q488Y9","30S ribosomal protein S4 ","30S ribosomal protein S4 ","Small ribosomal subunit protein uS4 "
"Q488Z0","30S ribosomal protein S11 ","30S ribosomal protein S11 ","Small ribosomal subunit protein uS11 "
"Q488Z1","30S ribosomal protein S13 ","30S ribosomal protein S13 ","Small ribosomal subunit protein uS13 "
"Q488Z2","50S ribosomal protein L36 ","50S ribosomal protein L36 ","Large ribosomal subunit protein bL36 "
"Q488Z3","Protein translocase subunit SecY ","Protein translocase subunit SecY ","Protein translocase subunit SecY "
"Q488Z4","50S ribosomal protein L15 ","50S ribosomal protein L15 ","Large ribosomal subunit protein uL15 "
"Q488Z5","50S ribosomal protein L30 ","50S ribosomal protein L30 ","Large ribosomal subunit protein uL30 "
"Q488Z6","30S ribosomal protein S5 ","30S ribosomal protein S5 ","Small ribosomal subunit protein uS5 "
"Q488Z7","50S ribosomal protein L18 ","50S ribosomal protein L18 ","Large ribosomal subunit protein uL18 "
"Q488Z8","50S ribosomal protein L6 ","50S ribosomal protein L6 ","Large ribosomal subunit protein uL6 "
"Q488Z9","30S ribosomal protein S8 ","30S ribosomal protein S8 ","Small ribosomal subunit protein uS8 "
"Q489A0","30S ribosomal protein S14 ","30S ribosomal protein S14 ","Small ribosomal subunit protein uS14 "
"Q489A1","50S ribosomal protein L5 ","50S ribosomal protein L5 ","Large ribosomal subunit protein uL5 "
"Q489A2","50S ribosomal protein L24 ","50S ribosomal protein L24 ","Large ribosomal subunit protein uL24 "
"Q489A3","50S ribosomal protein L14 ","50S ribosomal protein L14 ","Large ribosomal subunit protein uL14 "
"Q489A8","GTP-binding protein TypA ","GTP-binding protein TypA ","Large ribosomal subunit assembly factor BipA "
"Q489A9","Uncharacterized protein ","Uncharacterized protein ","Sulphatase-modifying factor protein "
"Q489B1","Serine carboxypeptidase ","Serine carboxypeptidase ","Serine carboxypeptidase "
